Callsign,Aircraft,Departure ICAO,Destination ICAO,Contributor,AIRAC validity,Date added
AAL9806,A21N,EGPH,KPHL,Pilatus,2509,08 Sep 25
DLH58W,A320,EDDF,LFML,amioman,2509,08 Sep 25
DLH77V,A320,EDDF,LFML,amioman,2509,08 Sep 25
UAL1996,A21N,KORD,TJSJ,dx73790,2509,08 Sep 25
UAL623,B737,KORD,KALB,dx73790,2509,08 Sep 25
QTR4Q,A320,OBBI,OTHH,sam,2509,08 Sep 25
TCARK,CL35,LTBJ,LTFJ,jtwright93,2509,08 Sep 25
TCARK,CL35,LTFJ,HECA,jtwright93,2509,08 Sep 25
TKJ8LB,A321,LTFJ,LTCE,jtwright93,2509,08 Sep 25
SVI1791,A320,HESH,LICJ,jtwright93,2509,08 Sep 25
AFR435,A359,SKBO,LFPG,jtwright93,2509,08 Sep 25
EZY595Z,A320,EGAE,EGPH,jtwright93,2509,08 Sep 25
EZY174N,A320,EGPH,EGAE,jtwright93,2509,08 Sep 25
FIN8CA,A359,EBBR,EFHK,jtwright93,2509,08 Sep 25
FIN52V,A359,EFHK,EBBR,jtwright93,2509,08 Sep 25
VSV454,B38M,HECA,UAII,jtwright93,2509,08 Sep 25
MLM712,B735,LEMD,BKPR,jtwright93,2509,08 Sep 25
MLM712,B735,HECA,LEMD,jtwright93,2509,08 Sep 25
FHY1688,A320,EDLP,LTAI,jtwright93,2509,08 Sep 25
ACA7252,B763,KMIA,SPJC,quiquem,2509,08 Sep 25
BOL752,DC10,SPJC,KMIA,quiquem,2509,08 Sep 25
TVF3119,B738,GMMZ,LFPO,jtwright93,2509,08 Sep 25
DAH2047,B738,LSGG,DAAG,jtwright93,2509,07 Sep 25
THY2CR,A321,LTBJ,LTFM,jtwright93,2509,07 Sep 25
DTH5513,B738,HESH,DAAG,jtwright93,2509,07 Sep 25
THY6LH,A321,LTFM,LTBJ,jtwright93,2509,07 Sep 25
VPBLU,GL7T,LIEO,KLAS,jtwright93,2509,07 Sep 25
DWC054,GLF4,OMDW,LIML,jtwright93,2509,07 Sep 25
UAL1181,A21N,KDEN,KORD,dx73790,2509,07 Sep 25
MAC9906,A320,LIPE,BIKF,jtwright93,2509,07 Sep 25
WZZ32DF,A321,ESGG,EPGD,jtwright93,2509,07 Sep 25
AXY912R,A343,UDYZ,LHBP,jtwright93,2509,07 Sep 25
WZZ3ZP,A321,EPGD,ESGG,jtwright93,2509,07 Sep 25
WUP890,B350,KBOS,KHPN,aca777,2509,07 Sep 25
MNWVM,B737,EGGW,CYVR,jtwright93,2509,07 Sep 25
GEC8263,B77L,SBGL,EDDF,jtwright93,2509,07 Sep 25
BFS303,C172,LESU,LEDA,jtwright93,2509,07 Sep 25
BFS203,C172,LEDA,LESU,jtwright93,2509,07 Sep 25
UAL1764,A320,KGJT,KDEN,dx73790,2509,07 Sep 25
UAL1714,A320,KDEN,KGJT,dx73790,2509,07 Sep 25
